Subject,Relation,Object
Thomas Horbach,related_to,Delta State
Thomas Horbach,related_to,Bayelsa State
Thomas Horbach,related_to,Royal-Dutch Shell
Wednesday,related_to,Delta State
Wednesday,related_to,Bayelsa State
Wednesday,related_to,Royal-Dutch Shell
Delta State,related_to,Bayelsa State
Delta State,related_to,Royal-Dutch Shell
Bayelsa State,related_to,Royal-Dutch Shell
German,related_to,Shell
Somalia,related_to,President Abdullahi Yusuf Ahmad
Mogadishu,related_to,Wednesday
Iraqi,related_to,Mosul
Iraqi,related_to,al Qaida in Iraq
Mosul,related_to,al Qaida in Iraq
Sunni Arab,related_to,Kurdish
U.S.,related_to,American
al Qaida in Iraq,related_to,Anbar
al Qaida in Iraq,related_to,Baghdad
Anbar,related_to,Baghdad
Mosul,related_to,Baghdad
Mosul,related_to,Sunni
Baghdad,related_to,Sunni
U.S.,related_to,American
U.S.,related_to,Baghdad
U.S.,related_to,Sunday
American,related_to,Baghdad
American,related_to,Sunday
Baghdad,related_to,Sunday
Egyptian,related_to,Muslim Brotherhood
Egyptian,related_to,Saturday
Muslim Brotherhood,related_to,Saturday
Friday,related_to,Alexandria
Brotherhood,related_to,Brotherhood
Pakistan,related_to,North West Frontier Province
Mutahida Majlis-e-Amal,related_to,Thursday
Taleban,related_to,Afghanistan
British,related_to,Islam
British,related_to,Prophet Muhammad
Islam,related_to,Prophet Muhammad
Bedfordshire,related_to,Tuesday
Bedfordshire,related_to,Omar Khayam
Bedfordshire,related_to,Bedford
Tuesday,related_to,Omar Khayam
Tuesday,related_to,Bedford
Omar Khayam,related_to,Bedford
British Home Office,related_to,Khayam
Home Office,related_to,Associated Press
AP,related_to,Khayam
Pakistani,related_to,Afghanistan
Malik Faridullah Khan,related_to,South Waziristan
Malik Faridullah Khan,related_to,Sunday
Malik Faridullah Khan,related_to,Kani Wam
South Waziristan,related_to,Sunday
South Waziristan,related_to,Kani Wam
Sunday,related_to,Kani Wam
Pakistani,related_to,South Waziristan
al-Qaida,related_to,Taleban
al-Qaida,related_to,Taleban
al-Qaida,related_to,Afghanistan
al-Qaida,related_to,2001
Taleban,related_to,Taleban
Taleban,related_to,Afghanistan
Taleban,related_to,2001
Taleban,related_to,Afghanistan
Taleban,related_to,2001
Afghanistan,related_to,2001
Pakistani,related_to,Pakistan
Pakistani,related_to,United States
Pakistan,related_to,United States
Pakistan,related_to,Abdul Qadeer Khan
Pakistan,related_to,Iran
Pakistan,related_to,Libya
Pakistan,related_to,North Korea
Abdul Qadeer Khan,related_to,Iran
Abdul Qadeer Khan,related_to,Libya
Abdul Qadeer Khan,related_to,North Korea
Iran,related_to,Libya
Iran,related_to,North Korea
Libya,related_to,North Korea
Pakistani,related_to,Washington
Khan,related_to,2004
Islamabad,related_to,Pakistan
U.S.,related_to,Army
U.S.,related_to,Wednesday
U.S.,related_to,Halliburton
U.S.,related_to,U.S.
U.S.,related_to,Iraq
Army,related_to,Wednesday
Army,related_to,Halliburton
Army,related_to,U.S.
Army,related_to,Iraq
Wednesday,related_to,Halliburton
Wednesday,related_to,U.S.
Wednesday,related_to,Iraq
Halliburton,related_to,U.S.
Halliburton,related_to,Iraq
U.S.,related_to,Iraq
Asia Pacific Economic Cooperation Business Advisory Council,related_to,APEC
Asia Pacific Economic Cooperation Business Advisory Council,related_to,September 8
Asia Pacific Economic Cooperation Business Advisory Council,related_to,9
APEC,related_to,September 8
APEC,related_to,9
September 8,related_to,9
VOA,related_to,Nancy-Amelia Collins
VOA,related_to,Sydney
Nancy-Amelia Collins,related_to,Sydney
World Trade Organization,related_to,APEC Business Advisory Council
World Trade Organization,related_to,ABAC
APEC Business Advisory Council,related_to,ABAC
Tim Harcourt,related_to,Australian Trade Commission
Tim Harcourt,related_to,ABAC
Australian Trade Commission,related_to,ABAC
ABAC,related_to,APEC
1995,related_to,APEC
Harcourt,related_to,Australian Trade Commission
Harcourt,related_to,ABAC
Australian Trade Commission,related_to,ABAC
ABAC,related_to,APEC
APEC,related_to,Saturday
Sudan,related_to,Darfur
Foreign Minister Mustafa Osman Ismail,related_to,Sudanese
Foreign Minister Mustafa Osman Ismail,related_to,April
Sudanese,related_to,April
Mr. Ismail,related_to,United Nations
Mr. Ismail,related_to,African Union
Mr. Ismail,related_to,Khartoum
Mr. Ismail,related_to,Sunday
United Nations,related_to,African Union
United Nations,related_to,Khartoum
United Nations,related_to,Sunday
African Union,related_to,Khartoum
African Union,related_to,Sunday
Khartoum,related_to,Sunday
AU,related_to,Sudanese
AU,related_to,April
Sudanese,related_to,April
Saturday,related_to,AU
Saturday,related_to,Darfur
Saturday,related_to,Sudanese
Saturday,related_to,South Darfur
Saturday,related_to,Labado
AU,related_to,Darfur
AU,related_to,Sudanese
AU,related_to,South Darfur
AU,related_to,Labado
Darfur,related_to,Sudanese
Darfur,related_to,South Darfur
Darfur,related_to,Labado
Sudanese,related_to,South Darfur
Sudanese,related_to,Labado
South Darfur,related_to,Labado
Indonesian,related_to,October 1
Indonesian,related_to,Bali
October 1,related_to,Bali
Indonesian,related_to,Wednesday
Indonesian,related_to,Bali
Indonesian,related_to,Java
Indonesian,related_to,Bali
Wednesday,related_to,Bali
Wednesday,related_to,Java
Wednesday,related_to,Bali
Bali,related_to,Java
Bali,related_to,Bali
Java,related_to,Bali
Australian,related_to,French
Australian,related_to,Cholily
Australian,related_to,Indonesia
French,related_to,Cholily
French,related_to,Indonesia
Cholily,related_to,Indonesia
Indonesian,related_to,Azahari bin Husin
Indonesian,related_to,Bali
Indonesian,related_to,2002
Indonesian,related_to,Bali
Azahari bin Husin,related_to,Bali
Azahari bin Husin,related_to,2002
Azahari bin Husin,related_to,Bali
Bali,related_to,2002
Bali,related_to,Bali
2002,related_to,Bali
Roman Catholic,related_to,Mogadishu
Roman Catholic,related_to,Somalia
Mogadishu,related_to,Somalia
Sunday,related_to,Pope Benedict
Sister Leonella Sgorbati,related_to,Mogadishu
Rome,related_to,Vatican
Byzantine,related_to,Prophet Muhammed
Saturday,related_to,Orakzai
Saturday,related_to,Taliban
Saturday,related_to,South Waziristan
Orakzai,related_to,Taliban
Orakzai,related_to,South Waziristan
Taliban,related_to,South Waziristan
Pakistani,related_to,Orakzai
Pakistani,related_to,Taliban
Orakzai,related_to,Taliban
Friday,related_to,Orakzai
Saturday,related_to,Kurram
Saturday,related_to,Afghan
Kurram,related_to,Afghan
U.S.,related_to,Afghanistan
U.S.,related_to,Taleban
Afghanistan,related_to,Taleban
Saturday,related_to,Uruzgan
Afghan,related_to,U.S.
U.S.,related_to,Paktika
British,related_to,Saturday
British,related_to,Mazar-e-Sharif
Saturday,related_to,Mazar-e-Sharif
Taleban,related_to,Afghanistan
Russia,related_to,Itar-Tass
Russia,related_to,Baltic states
Russia,related_to,Lithuania
Russia,related_to,Latvia
Russia,related_to,Estonia
Baltic states,related_to,Lithuania
Baltic states,related_to,Latvia
Baltic states,related_to,Estonia
Lithuania,related_to,Latvia
Lithuania,related_to,Estonia
Latvia,related_to,Estonia
Vietnam,related_to,Vietnamese
Vietnam,related_to,Ninh Binh
Vietnam,related_to,Thursday
Vietnam,related_to,H5N1
Ninh Binh,related_to,Thursday
Ninh Binh,related_to,H5N1
Thursday,related_to,H5N1
World Health Organization,related_to,2003
Somalia,related_to,Mogadishu
Somalia,related_to,Ethiopian
Mogadishu,related_to,Ethiopian
Wednesday,related_to,Ethiopian
Wednesday,related_to,Defense Ministry
Wednesday,related_to,Mogadishu
Ethiopian,related_to,Defense Ministry
Ethiopian,related_to,Mogadishu
Defense Ministry,related_to,Mogadishu
Ethiopia,related_to,Somalia
Ethiopia,related_to,December
Somalia,related_to,December
Somalia,related_to,Islamist
African Union,related_to,Somalia
African Union,related_to,Ethiopian
African Union,related_to,Addis Ababa
Somalia,related_to,Ethiopian
Somalia,related_to,Addis Ababa
Ethiopian,related_to,Addis Ababa
Palestinian,related_to,Ahmed Qureia
Palestinian,related_to,Israeli
Palestinian,related_to,Palestinian
Ahmed Qureia,related_to,Israeli
Ahmed Qureia,related_to,Palestinian
Israeli,related_to,Palestinian
Israeli,related_to,Prime Minister Ehud Olmert
Israeli,related_to,Palestinian
Israeli,related_to,President Mahmoud Abbas
Israeli,related_to,November
Prime Minister Ehud Olmert,related_to,Palestinian
Prime Minister Ehud Olmert,related_to,President Mahmoud Abbas
Prime Minister Ehud Olmert,related_to,November
Palestinian,related_to,President Mahmoud Abbas
Palestinian,related_to,November
President Mahmoud Abbas,related_to,November
U.S.,related_to,President George Bush
Qureia,related_to,Wednesday
Qureia,related_to,Israel
Qureia,related_to,Mr. Bush
Wednesday,related_to,Israel
Wednesday,related_to,Mr. Bush
Israel,related_to,Mr. Bush
Israeli,related_to,Major General Udi Adam
Israeli,related_to,Northern Command
Major General Udi Adam,related_to,Northern Command
Wednesday,related_to,General Adam
Adam,related_to,Hezbollah
Adam,related_to,Lebanon
Hezbollah,related_to,Lebanon
Israeli,related_to,Adam
Israeli,related_to,Lieutenant General Dan Halutz
Adam,related_to,Lieutenant General Dan Halutz
Institute for Science and International Security,related_to,Khushab
Institute for Science and International Security,related_to,Punjab
Khushab,related_to,Punjab
Pakistan,related_to,Foreign Ministry
Pakistan,related_to,Tasnim Aslam
Pakistan,related_to,Khushab
Foreign Ministry,related_to,Tasnim Aslam
Foreign Ministry,related_to,Khushab
Tasnim Aslam,related_to,Khushab
VOA,related_to,June Soh
Cuba,related_to,Panama
Cuba,related_to,Havana
Cuba,related_to,Panama City
Cuba,related_to,Cuban
Cuba,related_to,President Fidel Castro
Panama,related_to,Havana
Panama,related_to,Panama City
Panama,related_to,Cuban
Panama,related_to,President Fidel Castro
Havana,related_to,Panama City
Havana,related_to,Cuban
Havana,related_to,President Fidel Castro
Panama City,related_to,Cuban
Panama City,related_to,President Fidel Castro
Cuban,related_to,President Fidel Castro
Friday,related_to,Panamanian
Friday,related_to,President Martin Torrijos
Friday,related_to,Cuban
Friday,related_to,Vice President Carlos Lage
Panamanian,related_to,President Martin Torrijos
Panamanian,related_to,Cuban
Panamanian,related_to,Vice President Carlos Lage
President Martin Torrijos,related_to,Cuban
President Martin Torrijos,related_to,Vice President Carlos Lage
Cuban,related_to,Vice President Carlos Lage
San Jose,related_to,Costa Rica
San Jose,related_to,Organization of American States
Costa Rica,related_to,Organization of American States
Cuba,related_to,Panama
Cuba,related_to,August
Cuba,related_to,Panamanian
Cuba,related_to,President Mireya Moscoso
Cuba,related_to,Cuba
Panama,related_to,August
Panama,related_to,Panamanian
Panama,related_to,President Mireya Moscoso
Panama,related_to,Cuba
August,related_to,Panamanian
August,related_to,President Mireya Moscoso
August,related_to,Cuba
Panamanian,related_to,President Mireya Moscoso
Panamanian,related_to,Cuba
President Mireya Moscoso,related_to,Cuba
Mr. Castro,related_to,2000
Mr. Castro,related_to,Panama City
2000,related_to,Panama City
Israeli,related_to,Palestinian
Israeli,related_to,Gaza Strip
Palestinian,related_to,Gaza Strip
Palestinian,related_to,Israeli
Israeli,related_to,Gaza
Israeli,related_to,Israeli
Israeli,related_to,June
Gaza,related_to,Israeli
Gaza,related_to,June
Israeli,related_to,June
Sunday,related_to,Palestinian
Sunday,related_to,Prime Minister Ismail Haniyeh
Sunday,related_to,Israel
Palestinian,related_to,Prime Minister Ismail Haniyeh
Palestinian,related_to,Israel
Prime Minister Ismail Haniyeh,related_to,Israel
Arab,related_to,Palestinians
Arab,related_to,Israel
Arab,related_to,Israeli
Arab,related_to,Palestinian
Palestinians,related_to,Israel
Palestinians,related_to,Israeli
Palestinians,related_to,Palestinian
Israel,related_to,Israeli
Israel,related_to,Palestinian
Israeli,related_to,Palestinian
Hamas,related_to,Fatah
Hamas,related_to,President Mahmoud Abbas
Fatah,related_to,President Mahmoud Abbas
U.S.,related_to,Chrysler
U.S.,related_to,Mexico
Chrysler,related_to,Mexico
Saltillo,related_to,Friday
Saltillo,related_to,Mexican
Saltillo,related_to,President Felipe Calderon
Saltillo,related_to,Chrysler
Saltillo,related_to,Mexico
Friday,related_to,Mexican
Friday,related_to,President Felipe Calderon
Friday,related_to,Chrysler
Friday,related_to,Mexico
Mexican,related_to,President Felipe Calderon
Mexican,related_to,Chrysler
Mexican,related_to,Mexico
President Felipe Calderon,related_to,Chrysler
President Felipe Calderon,related_to,Mexico
Chrysler,related_to,Mexico
Mr. Calderon,related_to,Mexico
Chrysler,related_to,Pentastar V-6
Chrysler,related_to,Chrysler
Chrysler,related_to,Dodge
Chrysler,related_to,Jeep
Chrysler,related_to,Ram
Pentastar V-6,related_to,Chrysler
Pentastar V-6,related_to,Dodge
Pentastar V-6,related_to,Jeep
Pentastar V-6,related_to,Ram
Chrysler,related_to,Dodge
Chrysler,related_to,Jeep
Chrysler,related_to,Ram
Dodge,related_to,Jeep
Dodge,related_to,Ram
Jeep,related_to,Ram
U.S.,related_to,Merck
U.S.,related_to,Vioxx
Merck,related_to,Vioxx
New Jersey,related_to,Merck
Merck,related_to,Vioxx
Thursday,related_to,Vioxx
Merck,related_to,Vioxx
ABC News,related_to,Dianne Sawyer
ABC News,related_to,The Simple Life
Dianne Sawyer,related_to,The Simple Life
Joel Madden,related_to,Good Charlotte
August 2,related_to,3
August 2,related_to,Good Morning America
August 2,related_to,August 3
August 2,related_to,20/20
3,related_to,Good Morning America
3,related_to,August 3
3,related_to,20/20
Good Morning America,related_to,August 3
Good Morning America,related_to,20/20
August 3,related_to,20/20
U.S.,related_to,Senator John Warner
U.S.,related_to,Virginia
U.S.,related_to,Iraq
U.S.,related_to,2009
Senator John Warner,related_to,Virginia
Senator John Warner,related_to,Iraq
Senator John Warner,related_to,2009
Virginia,related_to,Iraq
Virginia,related_to,2009
Iraq,related_to,2009
Warner,related_to,University of Virginia
Warner,related_to,Friday
Warner,related_to,2008
University of Virginia,related_to,Friday
University of Virginia,related_to,2008
Friday,related_to,2008
Senate Armed Services Committee,related_to,President Bush
Senate Armed Services Committee,related_to,Iraq
President Bush,related_to,Iraq
Mr. Bush,related_to,U.S.
Mr. Bush,related_to,Iraq
U.S.,related_to,Iraq
Navy,related_to,U.S.
United Nations,related_to,December
United Nations,related_to,Indian Ocean
December,related_to,Indian Ocean
U.N.,related_to,Food and Agricultural Organization
U.N.,related_to,FAO
Food and Agricultural Organization,related_to,FAO
FAO,related_to,Indonesia
FAO,related_to,Maldives
FAO,related_to,Somalia
FAO,related_to,Sri Lanka
FAO,related_to,Thailand
Indonesia,related_to,Maldives
Indonesia,related_to,Somalia
Indonesia,related_to,Sri Lanka
Indonesia,related_to,Thailand
Maldives,related_to,Somalia
Maldives,related_to,Sri Lanka
Maldives,related_to,Thailand
Somalia,related_to,Sri Lanka
Somalia,related_to,Thailand
Sri Lanka,related_to,Thailand
Indonesia,related_to,2003
Bekasi,related_to,Jakarta
Monday,related_to,Jakarta
Monday,related_to,Tangerang
Jakarta,related_to,Tangerang
Thailand,related_to,Islamic
Thailand,related_to,Thailand
Thailand,related_to,Malaysia
Islamic,related_to,Thailand
Islamic,related_to,Malaysia
Thailand,related_to,Malaysia
Thai,related_to,Deputy Interior Minister Sutham Saengprathum
Thai,related_to,Malaysia
Thai,related_to,Kelantan
Thai,related_to,Thailand
Deputy Interior Minister Sutham Saengprathum,related_to,Malaysia
Deputy Interior Minister Sutham Saengprathum,related_to,Kelantan
Deputy Interior Minister Sutham Saengprathum,related_to,Thailand
Malaysia,related_to,Kelantan
Malaysia,related_to,Thailand
Kelantan,related_to,Thailand
Malaysia,related_to,Bangkok
Thai,related_to,Prime Minister Thaksin Shinawatra
Thai,related_to,Malaysia
Thai,related_to,Indonesia
Thai,related_to,Thailand
Prime Minister Thaksin Shinawatra,related_to,Malaysia
Prime Minister Thaksin Shinawatra,related_to,Indonesia
Prime Minister Thaksin Shinawatra,related_to,Thailand
Malaysia,related_to,Indonesia
Malaysia,related_to,Thailand
Indonesia,related_to,Thailand
Malaysia,related_to,Indonesia
Malaysia,related_to,Bangkok
Indonesia,related_to,Bangkok
Muslims,related_to,Indonesia
Muslims,related_to,Malaysia
Indonesia,related_to,Malaysia
Chinese,related_to,Shanghai
Chinese,related_to,Saturday
Chinese,related_to,Japanese
Shanghai,related_to,Saturday
Shanghai,related_to,Japanese
Saturday,related_to,Japanese
Shanghai,related_to,Japan
Shanghai,related_to,U.N. Security Council
Shanghai,related_to,Tokyo
Japan,related_to,U.N. Security Council
Japan,related_to,Tokyo
U.N. Security Council,related_to,Tokyo
State Councilor Tang Jiaxuan,related_to,Xinhua
State Councilor Tang Jiaxuan,related_to,China
Xinhua,related_to,China
Japan,related_to,Foreign Minister
Japan,related_to,Nobutaka Machimura
Japan,related_to,Sunday
Japan,related_to,Beijing
Japan,related_to,Chinese
Japan,related_to,Li Zhaoxing
Foreign Minister,related_to,Nobutaka Machimura
Foreign Minister,related_to,Sunday
Foreign Minister,related_to,Beijing
Foreign Minister,related_to,Chinese
Foreign Minister,related_to,Li Zhaoxing
Nobutaka Machimura,related_to,Sunday
Nobutaka Machimura,related_to,Beijing
Nobutaka Machimura,related_to,Chinese
Nobutaka Machimura,related_to,Li Zhaoxing
Sunday,related_to,Beijing
Sunday,related_to,Chinese
Sunday,related_to,Li Zhaoxing
Beijing,related_to,Chinese
Beijing,related_to,Li Zhaoxing
Chinese,related_to,Li Zhaoxing
2012 Summer Olympics,related_to,London
Prime Minister Tony Blair,related_to,London
British,related_to,London
British,related_to,July of 2005
London,related_to,July of 2005
Wednesday,related_to,Games
2008 Olympic,related_to,Jing Jing
Sam Beattie,related_to,Jing Jing
Sam Beattie,related_to,Sichuan
Jing Jing,related_to,Sichuan
British,related_to,British
British,related_to,NATO
British,related_to,Afghanistan
British,related_to,NATO
British,related_to,Afghanistan
NATO,related_to,Afghanistan
NATO,related_to,Kandahar
NATO,related_to,Saturday
Kandahar,related_to,Saturday
NATO,related_to,Taleban
NATO,related_to,Kandahar
Taleban,related_to,Kandahar
Operation Medusa,related_to,Taleban
Sri,related_to,Lankan
Sri,related_to,Tamil
Sri,related_to,Friday
Sri,related_to,Colombo
Lankan,related_to,Tamil
Lankan,related_to,Friday
Lankan,related_to,Colombo
Tamil,related_to,Friday
Tamil,related_to,Colombo
Friday,related_to,Colombo
Dharmeratnam Sivaram,related_to,TamilNet
Dharmeratnam Sivaram,related_to,Web
Dharmeratnam Sivaram,related_to,Sri Lanka
Dharmeratnam Sivaram,related_to,english
Dharmeratnam Sivaram,related_to,Daily Mirror
TamilNet,related_to,Web
TamilNet,related_to,Sri Lanka
TamilNet,related_to,english
TamilNet,related_to,Daily Mirror
Web,related_to,Sri Lanka
Web,related_to,english
Web,related_to,Daily Mirror
Sri Lanka,related_to,english
Sri Lanka,related_to,Daily Mirror
english,related_to,Daily Mirror
Mr. Sivaram,related_to,Web
Mr. Sivaram,related_to,Sri
Mr. Sivaram,related_to,Lankan
Mr. Sivaram,related_to,Tamil Tiger
Web,related_to,Sri
Web,related_to,Lankan
Web,related_to,Tamil Tiger
Sri,related_to,Lankan
Sri,related_to,Tamil Tiger
Lankan,related_to,Tamil Tiger
Mr. Sivaram,related_to,2001
Japan,related_to,North Korea
Japanese,related_to,Monday
Japanese,related_to,Beijing
Japanese,related_to,November
Monday,related_to,Beijing
Monday,related_to,November
Beijing,related_to,November
Japan,related_to,North Korea
Tokyo,related_to,Pyongyang
Tokyo,related_to,North Korea
Tokyo,related_to,North
Tokyo,related_to,Japanese
Tokyo,related_to,1970s
Tokyo,related_to,1980s
Pyongyang,related_to,North Korea
Pyongyang,related_to,North
Pyongyang,related_to,Japanese
Pyongyang,related_to,1970s
Pyongyang,related_to,1980s
North Korea,related_to,North
North Korea,related_to,Japanese
North Korea,related_to,1970s
North Korea,related_to,1980s
North,related_to,Japanese
North,related_to,1970s
North,related_to,1980s
Japanese,related_to,1970s
Japanese,related_to,1980s
1970s,related_to,1980s
Iraq,related_to,Iraqi
Iraq,related_to,Saddam Hussein
Iraqi,related_to,Saddam Hussein
Human Rights Watch,related_to,Thursday
Human Rights Watch,related_to,Iraqi
Human Rights Watch,related_to,2003
Human Rights Watch,related_to,Iraq
Thursday,related_to,Iraqi
Thursday,related_to,2003
Thursday,related_to,Iraq
Iraqi,related_to,2003
Iraqi,related_to,Iraq
2003,related_to,Iraq
Associated Press,related_to,U.S.
Associated Press,related_to,Defense Department
U.S.,related_to,Defense Department
Saddam Hussein,related_to,July
Saddam Hussein,related_to,U.S.
Saddam Hussein,related_to,Baghdad
July,related_to,U.S.
July,related_to,Baghdad
U.S.,related_to,Baghdad
Egypt,related_to,World Health Organization
Egypt,related_to,Egyptian
World Health Organization,related_to,Egyptian
Egyptians,related_to,H5N1
Egypt,related_to,Asia
U.N.,related_to,Iraq
U.N.,related_to,Saddam Hussein
U.N.,related_to,U.N.
Iraq,related_to,Saddam Hussein
Iraq,related_to,U.N.
Saddam Hussein,related_to,U.N.
U.S.,related_to,Federal Reserve
U.S.,related_to,Chairman Paul Volcker
U.S.,related_to,United Nations Security Council
Federal Reserve,related_to,Chairman Paul Volcker
Federal Reserve,related_to,United Nations Security Council
Chairman Paul Volcker,related_to,United Nations Security Council
U.S.,related_to,government-funded
U.S.,related_to,alHurra
U.S.,related_to,Mr. Volcker
U.S.,related_to,Saddam
government-funded,related_to,alHurra
government-funded,related_to,Mr. Volcker
government-funded,related_to,Saddam
alHurra,related_to,Mr. Volcker
alHurra,related_to,Saddam
Mr. Volcker,related_to,Saddam
United Nations,related_to,Gulf War
United Nations,related_to,Iraq
United Nations,related_to,Iraqi
Gulf War,related_to,Iraq
Gulf War,related_to,Iraqi
Iraq,related_to,Iraqi
Kyrgyzstan,related_to,Justice Ministry
Kyrgyzstan,related_to,Tynychbek Akmatbayev
Kyrgyzstan,related_to,Bishkek
Justice Ministry,related_to,Tynychbek Akmatbayev
Justice Ministry,related_to,Bishkek
Tynychbek Akmatbayev,related_to,Bishkek
Mr. Akmatbayev,related_to,Wednesday
Mr. Akmatbayev,related_to,Kyrgyz
Wednesday,related_to,Kyrgyz
Bishkek,related_to,Thursday
Western Europe,related_to,Iraq
France,related_to,Aigle Azur
France,related_to,Charles De Gaulle
France,related_to,Paris
France,related_to,Saturday
France,related_to,Baghdad International Airport
France,related_to,Sunday
Aigle Azur,related_to,Charles De Gaulle
Aigle Azur,related_to,Paris
Aigle Azur,related_to,Saturday
Aigle Azur,related_to,Baghdad International Airport
Aigle Azur,related_to,Sunday
Charles De Gaulle,related_to,Paris
Charles De Gaulle,related_to,Saturday
Charles De Gaulle,related_to,Baghdad International Airport
Charles De Gaulle,related_to,Sunday
Paris,related_to,Saturday
Paris,related_to,Baghdad International Airport
Paris,related_to,Sunday
Saturday,related_to,Baghdad International Airport
Saturday,related_to,Sunday
Baghdad International Airport,related_to,Sunday
French,related_to,Foreign Trade Minister Anne-Marie Idrac
French,related_to,France
French,related_to,Iraq
Foreign Trade Minister Anne-Marie Idrac,related_to,France
Foreign Trade Minister Anne-Marie Idrac,related_to,Iraq
France,related_to,Iraq
Paris,related_to,Baghdad
Aigle Azur,related_to,Baghdad
Etihad,related_to,Emirates airlines
Etihad,related_to,United Arab Emirates
Etihad,related_to,Baghdad
Emirates airlines,related_to,United Arab Emirates
Emirates airlines,related_to,Baghdad
United Arab Emirates,related_to,Baghdad
U.S.,related_to,January
Labor Department,related_to,Friday
Labor Department,related_to,U.S.
Friday,related_to,U.S.
American,related_to,January
Venezuelan,related_to,President Hugo Chavez
Venezuelan,related_to,Colombia
Venezuelan,related_to,United States
President Hugo Chavez,related_to,Colombia
President Hugo Chavez,related_to,United States
Colombia,related_to,United States
Mr. Chavez,related_to,Sunday
Mr. Chavez,related_to,Mr. Chavez
Mr. Chavez,related_to,Colombian
Mr. Chavez,related_to,President Alvaro Uribe
Sunday,related_to,Mr. Chavez
Sunday,related_to,Colombian
Sunday,related_to,President Alvaro Uribe
Mr. Chavez,related_to,Colombian
Mr. Chavez,related_to,President Alvaro Uribe
Colombian,related_to,President Alvaro Uribe
Colombian,related_to,Defense Minister Juan Manuel Santos
Colombian,related_to,Venezuela
Defense Minister Juan Manuel Santos,related_to,Venezuela
Sunday,related_to,Mr. Chavez
Sunday,related_to,President Uribe
Mr. Chavez,related_to,President Uribe
March,related_to,Colombia
March,related_to,Ecuador
Colombia,related_to,Ecuador
Venezuela,related_to,Colombian
China,related_to,U.S.
China,related_to,Chinese
China,related_to,U.S.
China,related_to,China
U.S.,related_to,Chinese
U.S.,related_to,U.S.
U.S.,related_to,China
Chinese,related_to,U.S.
Chinese,related_to,China
U.S.,related_to,China
Wednesday,related_to,U.S. Commission on International Religious Freedom
Wednesday,related_to,China
U.S. Commission on International Religious Freedom,related_to,China
Saturday,related_to,Chinese
Saturday,related_to,Foreign Ministry
Saturday,related_to,Liu Jianchao
Saturday,related_to,U.S.
Saturday,related_to,Chinese
Chinese,related_to,Foreign Ministry
Chinese,related_to,Liu Jianchao
Chinese,related_to,U.S.
Chinese,related_to,Chinese
Foreign Ministry,related_to,Liu Jianchao
Foreign Ministry,related_to,U.S.
Foreign Ministry,related_to,Chinese
Liu Jianchao,related_to,U.S.
Liu Jianchao,related_to,Chinese
U.S.,related_to,Chinese
U.S,related_to,China
Liu,related_to,China
Liu,related_to,Chinese
China,related_to,Chinese
Monday,related_to,Mr. Bush
Monday,related_to,U.S.
Mr. Bush,related_to,U.S.
Uganda,related_to,Lord 's Resistance Army
Friday,related_to,LRA
Saturday,related_to,Sudan
Kony,related_to,LRA
