Subject,Relation,Object,Subject_Type,Object_Type
Pentagon,related_to,U.S. Justice Department,org,org
Japan,related_to,Renault,gpe,org
Mr. Castro,related_to,July,per,tim
Monday,related_to,November 11,tim,tim
Thursday,related_to,Gabcikovo,tim,geo
New Zealand,related_to,Germany,org,geo
Sunday,related_to,U.S.,tim,geo
Carolina Barco,related_to,Bogata,geo,geo
The,related_to,Irish,org,gpe
Israeli,related_to,three-day,gpe,tim
Darfur,related_to,Africa,geo,geo
Burma,related_to,Irrawaddy River,geo,org
Tuesday,related_to,Javad Vaeidi,tim,per
Mr.,related_to,Fujimori,per,geo
United States,related_to,President Fidel Castro,geo,per
Iraqi,related_to,of Ramadan,gpe,tim
later,related_to,United Provinces of Central America,tim,org
Israeli,related_to,southern Gaza,gpe,geo
Togo,related_to,Mr.,geo,per
Thursday,related_to,President Mwai Kibaki,tim,per
Saturday,related_to,Wei Wei,tim,per
al-Qaida,related_to,Kenya,org,geo
Pakistan,related_to,Wednesday,geo,tim
Israel,related_to,Hamas,geo,org
Samuel Bodman,related_to,Iraqi,per,gpe
Andy Roddick,related_to,London,per,geo
United Nations,related_to,2003,org,tim
Ali Asghar Ahmadi,related_to,Iran,per,geo
Saturday,related_to,Pulwama,tim,geo
European Union,related_to,Ukrainian,org,gpe
Al-Qaida,related_to,Iraq,org,geo
Russia,related_to,Sweden,geo,org
French,related_to,Mary Pierce,gpe,per
Muslim protests,related_to,Prophet Muhammad,org,org
London,related_to,Iraq,geo,geo
Israel,related_to,Gaza Strip,geo,geo
Chinese,related_to,two,gpe,tim
Indonesian,related_to,Indonesian,gpe,gpe
U.S.,related_to,Japan,geo,geo
French,related_to,France,gpe,geo
fiscal deficit in 2009,related_to,12,tim,tim
NATO,related_to,Afghan,org,gpe
New Delhi,related_to,February 17,geo,tim
January 2011,related_to,Prime,tim,per
Cuban,related_to,Cuba,gpe,geo
U.S. Undersecretary of State Nicholas Burns,related_to,India,org,geo
Angola,related_to,November 2009,geo,tim
Mr. Garang,related_to,Saturday evening,per,tim
Sudan,related_to,Darfur,geo,tim
2010,related_to,first time,tim,tim
Macedonia,related_to,Greek,geo,gpe
Al-Rai,related_to,Friday,org,tim
Batumi,related_to,Armenia,geo,geo
Mr. Bakri,related_to,Muslims,per,org
2005,related_to,December 2006 and October 2007,tim,tim
Italy,related_to,Turkish,geo,gpe
Australia,related_to,Western Australia,geo,org
U.S.,related_to,Arizona,geo,geo
TWA,related_to,1985,org,tim
2003,related_to,Asia,tim,geo
Thursday,related_to,Brisbane,tim,geo
Hamas,related_to,Israel,org,org
Polisario Front,related_to,President Olusegun Obasanjo,org,per
Pakistani,related_to,Pashtun,gpe,geo
Georgian,related_to,Ukrainian,gpe,gpe
1970,related_to,1985,tim,tim
overnight marriage,related_to,Beit Hanun,tim,org
West Africa,related_to,Jac Keita,geo,per
Christopher Howes,related_to,Cambodia,per,geo
Iraqi,related_to,Baghdad,gpe,geo
Clinton,related_to,Democratic,per,org
Israeli,related_to,1967 Six-Day War,gpe,tim
Lieberman,related_to,Arizona,per,org
Nigerian,related_to,June,gpe,tim
Chinese,related_to,Prime Minister Junichiro Koizumi,gpe,per
Howard Schultz,related_to,Seattle,per,geo
Argentina,related_to,Cuba,geo,geo
Brazil,related_to,Bolivia,geo,geo
Military Attorney General 's Office,related_to,Thursday,org,tim
Arabs,related_to,U.S.,gpe,geo
13,related_to,today,tim,tim
FBI,related_to,Azerbaijan,org,geo
Sao Tome,related_to,Principe,per,per
Cairo,related_to,Iraq,geo,geo
Friday,related_to,Mr.,tim,per
Gaza,related_to,June,geo,tim
today,related_to,Turkish,tim,gpe
Pakistan,related_to,Zimbabwe,geo,geo
Thursday,related_to,Indonesia,tim,geo
Mr.,related_to,Schwarzenegger,per,org
1990 - 1991,related_to,Iraqi,tim,gpe
Wednesday,related_to,Kabul,tim,org
YUDHOYONO,related_to,BOEDIONO,per,per
U.S.,related_to,September,geo,tim
Sunday,related_to,Vice President Parviz Davoodi,tim,per
Masri,related_to,Egyptian,per,gpe
Iraqi,related_to,American,gpe,gpe
Pakistani,related_to,Taliban,gpe,org
Norwegian,related_to,Irish,gpe,gpe
Afghanistan,related_to,since 2003,geo,tim
Beijing,related_to,China,geo,geo
Muhammed,related_to,several,per,tim
Washington,related_to,Iran,geo,geo
Discovery Channel,related_to,NASA,org,org
Saddam Hussein,related_to,Saddam Hussein,per,per
President Bashar al-Assad,related_to,Lebanon,per,geo
Mirek Topolanek,related_to,U.S.,per,geo
Bedfordshire,related_to,Omar Khayam,gpe,per
U.S. Pacific Tsunami Warning Center,related_to,French,org,gpe
U.S.,related_to,U.S.,geo,geo
18th century,related_to,British,tim,gpe
U.N. Secretary-General,related_to,Security Council,org,org
Afghan,related_to,Amrullah Saleh,gpe,per
United Nations Security Council,related_to,Liberia,org,geo
Canadian Security Intelligence Service,related_to,Canada,org,geo
United Nations,related_to,January 27,org,tim
Germany,related_to,Afghanistan,geo,geo
Mauritius,related_to,India,geo,geo
Taifi,related_to,London,geo,geo
Israeli,related_to,Arab,gpe,gpe
Miami,related_to,Atlanta,geo,geo
U.N.,related_to,High Commissioner for Human Rights,org,org
Justice Department,related_to,U.S. District Court,org,org
Jordan,related_to,Middle East,gpe,geo
Britain,related_to,19th century,org,tim
Syrian,related_to,President Bashar Al-Assad,gpe,per
Afghan,related_to,President Hamid Karzai,gpe,per
Tuesday,related_to,Colombia,tim,geo
Bangladeshis,related_to,November 28,gpe,tim
State Department,related_to,Wednesday,org,tim
Defense Investment,related_to,Wednesday,org,tim
Russia,related_to,June 1993,geo,tim
November 17,related_to,APEC,tim,org
Jerusalem,related_to,Sunday,geo,tim
Mario Ancic,related_to,the Netherlands,per,geo
oil-rich,related_to,past two,org,tim
China,related_to,Sinopec,geo,geo
Pyongyang,related_to,Japan,geo,geo
President Bashar al-Assad,related_to,Syria,per,geo
Palestinian,related_to,Cairo,gpe,geo
Tibetan,related_to,Dalai Lama,gpe,geo
Russian,related_to,Afghanistan 's Taleban,gpe,org
U.S.,related_to,Afghanistan,geo,geo
Mohamed ElBaradei,related_to,France,per,geo
Al-Ahram,related_to,Cairo,geo,geo
al-Qaida,related_to,Iraqi,org,gpe
United Nations,related_to,Darfur,org,geo
VOA,related_to,English to Africa,org,org
The Kremlin,related_to,Monday,org,tim
LRA,related_to,Africa,org,geo
Care International,related_to,October,org,tim
North Korea,related_to,Saturday,geo,tim
Drought,related_to,2008,per,tim
Iraq,related_to,Baghdad,org,geo
Vietnam,related_to,Lunar New Year,geo,org
"Sara Properties , Meadowbrook Investments and Ozlam Properties -",related_to,Sanabel Relief Agency -,org,org
Monday,related_to,Supreme Court,tim,org
Rwandan,related_to,1994,gpe,tim
Almallah Dabas,related_to,Madrid,org,geo
Taleban,related_to,United States,org,geo
1942,related_to,1944 - 45,tim,tim
Alvarez,related_to,Osama bin Laden,per,per
Africa,related_to,Darfur,geo,geo
January 2010,related_to,11 term,tim,tim
Center for Genetic Engineering and Biotechnology,related_to,Thursday,org,tim
Colombia,related_to,Venezuela,geo,geo
southern France,related_to,armistice that,geo,tim
Russian,related_to,Chechens,gpe,gpe
U.S.,related_to,President Bush,geo,per
Tokage,related_to,Japan,org,geo
NATO,related_to,later,org,tim
David Hicks,related_to,Guantanamo,per,geo
Indonesia,related_to,of separatist violence,geo,tim
Jerusalem,related_to,Hamas,geo,org
British,related_to,Palme d'Or,gpe,art
Reuters,related_to,Palestinian,org,gpe
The Sultanate,related_to,Brunei,org,geo
Republic,related_to,Europe,geo,geo
Karel Schwarzenburg,related_to,French,per,gpe
New Zealand,related_to,South Africa,geo,geo
Mr. Annan,related_to,Mr.,per,per
Canadian,related_to,Africa,gpe,geo
06-Mar,related_to,06-Mar,geo,geo
Egyptian,related_to,Egypt,gpe,geo
Hang Seng,related_to,"13,406",org,tim
since,related_to,August,tim,tim
Lucie Safarova,related_to,Republic,per,geo
U.S.,related_to,Iraq,geo,geo
Mr. Museveni,related_to,Uganda,per,geo
EU,related_to,Somali,org,gpe
Iran,related_to,Tehran,geo,org
New Orleans Arena,related_to,NBA Commissioner,org,org
Reyes,related_to,Ecuador,per,geo
U.S.,related_to,Baghdad,geo,geo
Miramax,related_to,Old Men,geo,org
Thursday,related_to,Dalai Lama,tim,geo
Thursday,related_to,Sudan,tim,gpe
Iraq,related_to,October 1,geo,tim
U.S.,related_to,President George Bush,org,per
Saturday,related_to,U.S. Drug Enforcement Administration,tim,org
Adkins,related_to,U.S. Embassy,per,org
Togo,related_to,1960,gpe,tim
Democrat Carl Levin,related_to,March 10,per,tim
Ukraine,related_to,Crimean,geo,gpe
Tamil Tiger,related_to,1980s,org,tim
John Correa,related_to,Venezuelan,per,gpe
Tuesday,related_to,Monday afternoon,tim,tim
Iraqi,related_to,President Jalal Talabani,gpe,per
Mr. Putin,related_to,Slovakia,per,geo
1905,related_to,Japan,tim,geo
People 's Liberation Army,related_to,three-year,org,tim
Bosnian Serb,related_to,Serb,gpe,gpe
U.S. Marines,related_to,Western,org,org
NATO,related_to,Sarajevo,org,geo
Interior Ministry,related_to,Hamas,org,org
six-year,related_to,January 10,tim,tim
Mastrogiacomo,related_to,since 2002,per,tim
Germany,related_to,Slovakia,geo,geo
African Union,related_to,Sudan,org,gpe
Pyongyang,related_to,from Monday through Wednesday of,geo,tim
Japan,related_to,Japanese,geo,gpe
Cuba,related_to,Michael Moore,geo,per
Israeli,related_to,West Bank,gpe,org
Columbus Day,related_to,Christopher Columbus,tim,org
CNN,related_to,Iraq,org,geo
National Assembly,related_to,Friday,org,tim
American,related_to,Ronald Allen Schultz,org,per
Caracas,related_to,Saturday,geo,tim
U.S.,related_to,Condoleezza Rice,org,per
Somali,related_to,six,gpe,tim
Whittington,related_to,Sunday,per,tim
Iraqi,related_to,Baghdad,gpe,geo
Japanese,related_to,London,gpe,geo
Russian,related_to,end of,gpe,tim
People 's National Convention,related_to,U.S. Congress,org,org
Council,related_to,Abbasali Kadkhodai,org,org
French,related_to,Sunday,gpe,tim
U.S.,related_to,Afghanistan,gpe,geo
May,related_to,Beltran Leyva,tim,geo
Wolf Trap National Park,related_to,Virginia,org,geo
New Light of Myanmar,related_to,Thursday,org,tim
U.S. Drug Enforcement Administration,related_to,2005,org,tim
Mr. Musharraf,related_to,Indian,per,gpe
Turkish,related_to,Namik Tan,gpe,per
Washington,related_to,Iraq,geo,geo
U.N.,related_to,May 8,org,tim
Syrian,related_to,Latifiya,gpe,geo
Iraq,related_to,Baghdad,geo,geo
Luis Ernesto Derbez,related_to,Washington - Francisco Flores,per,geo
Kamal Kharrazi,related_to,Kamal Kharrazi,per,per
National Planning Commission,related_to,Beijings,org,geo
Colombian,related_to,Caracas,gpe,geo
second quarter,related_to,of,tim,tim
U.S.,related_to,day,org,tim
Shan Democratic Union,related_to,President Vaclav Havel,org,per
release June 29,related_to,U.S.,tim,geo
Kupwara,related_to,Kashmir,geo,geo
since 1995,related_to,Mr. Chirac,tim,per
Lebanon,related_to,afterward,geo,tim
Palestinian,related_to,Thursday,gpe,tim
U.S.,related_to,Al Anbar,geo,geo
Venezuelan,related_to,Venezuelan,gpe,gpe
three-day,related_to,in December,tim,tim
Louisiana,related_to,Cameron Parish,gpe,geo
Caracas,related_to,Moscow,per,tim
Burton,related_to,United States,per,geo
U.S.,related_to,Wednesday,geo,tim
Palestinian,related_to,Gaza Strip,gpe,geo
Bhutto,related_to,Pakistan,per,geo
Wednesday,related_to,western Farah,tim,geo
Wednesday,related_to,Turkey,tim,org
NATO-led International Security Assistance Force,related_to,Thursday,org,tim
White House,related_to,President Bush,org,per
U.S.,related_to,North Wazirstan,geo,geo
Japan,related_to,Security Council,geo,org
Islamabad,related_to,India,geo,geo
Agca,related_to,Italian,org,gpe
Tuesday,related_to,Hebei,tim,geo
December 2006,related_to,Jigme Khesar Namgyel WANGCHUCK,tim,org
United States,related_to,U.S.,geo,geo
Khaled Mashaal,related_to,Palestinian,per,gpe
American University,related_to,Saddam,org,org
Taliban,related_to,Afghanistan,org,geo
Republic of Congo,related_to,Brazzaville,geo,geo
Lynndie England,related_to,Texas,per,geo
Pakistan,related_to,Islamabad,gpe,per
Interim Haiti Reconstruction Commission,related_to,Haiti,org,geo
before,related_to,National Assembly,tim,org
Saturday,related_to,Security Council,tim,org
Days of Glory,related_to,II,org,eve
New York,related_to,Secret Service,geo,org
Patriot Act,related_to,"September 11 , 2001",art,tim
U.S.,related_to,Friday,geo,tim
Afghan,related_to,NATO,gpe,org
U.S.,related_to,Kenya,org,geo
Abkhaz,related_to,Friday,org,tim
United States,related_to,France,geo,geo
Anwar,related_to,three,per,tim
1992 and 1997,related_to,Kenyan,tim,gpe
Philippines and Ethiopia,related_to,Syria,org,geo
Monday one day before,related_to,Prime,tim,per
Vice President Dick Cheney,related_to,Adil Abdul Mahdi,per,per
Finland,related_to,Germany,geo,geo
Serra,related_to,Florian Mayer,per,geo
VOA,related_to,Prime Minister Seydou Diarra,org,per
Macedonia,related_to,Ukraine,org,org
Iran,related_to,Islam,geo,geo
Pakistani,related_to,al-Qaida,gpe,org
Germany,related_to,Britain,geo,geo
Russian,related_to,2015,gpe,tim
30,related_to,India,tim,geo
Congo,related_to,Bunia airport,geo,geo
Paynesville,related_to,John F. Kennedy Hospital,geo,geo
Indian,related_to,Mumbai,gpe,geo
of,related_to,2003,tim,tim
Mr. Tsang,related_to,July 10,per,tim
Mr.,related_to,Jose Miguel Insulza,per,per
Hezbollah,related_to,Israeli,org,gpe
Prime Minister Ariel Sharon,related_to,Israeli,per,gpe
two Koreas,related_to,China,tim,geo
Greek Cypriots,related_to,European Union,gpe,org
pro-independence Scottish National Party,related_to,Britain,org,geo
Sunday,related_to,Hello,tim,geo
U.S.,related_to,Minister Kim Kye-gwan,org,per
Venezuela,related_to,Colombian,geo,gpe
Turkish,related_to,Istanbul,gpe,geo
U.S.,related_to,Friday,geo,tim
Iraqi,related_to,al-Qaida,gpe,org
Israeli,related_to,Israeli,gpe,gpe
Iranian,related_to,Iraq,gpe,geo
Burma,related_to,North Korea,geo,geo
U.S. State Department,related_to,China,org,geo
Japanese,related_to,Mexico,gpe,geo
Nablus,related_to,Palestinian,geo,gpe
Lebanese,related_to,February,gpe,tim
Sudan,related_to,Idriss Deby,gpe,per
Tuesday,related_to,Saudi Arabia,tim,geo
PBSNewshour Tuesday,related_to,Congress,tim,org
Country Magazine,related_to,Cirque Lodge,org,geo
Colombia,related_to,Ecuador,geo,geo
Kiryenko,related_to,Moscow,per,geo
VOA,related_to,Quarter,org,org
Defense Ministry,related_to,British,org,gpe
Saturday,related_to,Helmand,tim,geo
Xinhua,related_to,Vice,org,per
Iraq,related_to,four to six,geo,tim
Czech,related_to,Poland,gpe,geo
U.S.,related_to,San Diego,geo,geo
Mr. Deby,related_to,February 15,per,tim
Barghouti,related_to,Fatah,per,org
Mr. Carter,related_to,Egypt,per,org
U.S.,related_to,Dubai,geo,geo
Asia-Pacific Economic Cooperation,related_to,Australia,org,geo
Sunday,related_to,London,tim,geo
Cuban,related_to,Monday,gpe,tim
Red Cross,related_to,Putumayo,geo,geo
Canberra International,related_to,Australia,org,geo
2008,related_to,Islamic,tim,geo
Lebanese,related_to,May 20,gpe,tim
President Bush,related_to,Palestinians,per,gpe
European Union,related_to,U.N. Security Council,org,org
55-year-old,related_to,Saddam Hussein,org,per
U.S.,related_to,2001,geo,tim
Chinese,related_to,Russian,gpe,gpe
',related_to,Palestinian,per,gpe
U.S.,related_to,Committee,org,org
Israeli,related_to,Palestinian,gpe,gpe
Zabul,related_to,Thursday,geo,tim
Friday,related_to,Europe,tim,geo
Ibrahim Bahr al-Uloum,related_to,Beiji,per,geo
Spanish,related_to,within 25,gpe,tim
Xinhua News Agency,related_to,Gongga,org,geo
Noaman Gomaa,related_to,Wafd Party,org,org
Taleban,related_to,2001,org,tim
Paul Krugman,related_to,U.S.,per,geo
BBC,related_to,Europe,org,geo
Clinton,related_to,11-day,per,tim
Mr. Annan,related_to,Chad,per,geo
U.S.,related_to,Iraq,geo,geo
Taiwan,related_to,Sunday,geo,tim
Sean Taylor,related_to,Florida,per,geo
Hillary Clinton,related_to,Africa,per,geo
Turkish,related_to,Tuesday,gpe,tim
NATO,related_to,Taliban,org,org
Iraq,related_to,Saturday,geo,tim
Turin Winter,related_to,Norway,org,geo
Fuad Masoum,related_to,Monday,per,tim
China,related_to,Hanoi,geo,geo
2006,related_to,2007 - 8,tim,tim
Tuesday,related_to,Mr. Rini,tim,per
China,related_to,Beijing,geo,geo
Guantanamo Bay,related_to,Afghanistan,geo,geo
China,related_to,Japan,geo,geo
Wednesday night,related_to,Lakers,tim,org
Kosovo,related_to,U.S.,org,geo
Ivory Coast,related_to,Darfur,geo,geo
Mr. Blair,related_to,Queen Elizabeth,per,per
Israeli,related_to,Gaza,gpe,geo
Dutch,related_to,European,gpe,gpe
past two,related_to,Afghan,tim,gpe
Palestinian,related_to,Vatican Thursday,gpe,tim
Prime,related_to,David Cameron,per,per
Iraq,related_to,'s Interior Ministry,geo,org
Louis Michel,related_to,Somalia,per,geo
Iran,related_to,Iraqi,geo,gpe
American,related_to,Germany,gpe,geo
Mr. Muentefering,related_to,Merkel,per,org
Islamic Army,related_to,Iraq,org,geo
Mr. Obasanjo,related_to,African Union,per,geo
August 2,related_to,3,tim,tim
China,related_to,Burma,geo,geo
Wednesday,related_to,Ilam,tim,geo
Chancellor Gerhard Schroeder,related_to,Berlin,per,geo
Western,related_to,Nigeria,per,geo
Jackdaw,related_to,Eagle,org,org
Kashmiri,related_to,Muslim-majority Pakistan,gpe,org
South Korea,related_to,Parwan,geo,geo
Cuba,related_to,U.S.,geo,geo
Gaza Strip,related_to,Palestinian,geo,gpe
Afghanistan,related_to,Uruzgan,geo,geo
State Department,related_to,Monday,org,tim
Washington,related_to,U.S.,org,geo
General Barno,related_to,Taleban,per,org
Ghana,related_to,Togo,geo,geo
United Nations,related_to,Liberia,org,geo
Mr. Bush,related_to,Iraq,per,geo
Tatiana Golovin,related_to,France,per,geo
Popular Resistance Committee,related_to,militant Islamic group Hamas,org,org
President Reagan,related_to,1986,per,tim
U.S.,related_to,Camp Buehring,geo,geo
Palestinian,related_to,West Bank,gpe,org
EU,related_to,2001,org,tim
Moscow,related_to,Iran,per,geo
Sudan 's Darfur,related_to,Chad,org,geo
Anatolia,related_to,prime,geo,per
Mr. Chavez,related_to,Honduran,per,gpe
Israeli,related_to,West Bank,gpe,org
France,related_to,Wednesday,org,tim
PKK,related_to,since 1984,org,tim
Tuesday,related_to,United States,tim,geo
British,related_to,July 21,gpe,tim
U.S. Defense,related_to,Saddam Hussein,org,per
Mar Del Plata,related_to,Americas,geo,org
U.S. Marines,related_to,Sunday,org,tim
Marine,related_to,Saturday,geo,tim
DeLay,related_to,Abramoff,per,per
Post-ABC,related_to,of,geo,tim
Cuba,related_to,Cuban,geo,gpe
Croatian,related_to,Cameroon,gpe,geo
Kharrazi,related_to,Baghdad,geo,geo
Secretary Donald Rumsfeld,related_to,Iraq,per,geo
Moscow,related_to,Taleban,geo,org
China,related_to,Taiwan,geo,geo
Iran,related_to,Shourd,geo,per
International Atomic Energy Agency,related_to,Parchin,org,geo
Palestinian,related_to,Israel,gpe,geo
Monday,related_to,Japanese,tim,gpe
London,related_to,past two,geo,tim
Mr.,related_to,Japanese,per,gpe
Mr. Chung,related_to,Korean,per,gpe
World War II,related_to,Slovenia,eve,per
Muslim,related_to,Blackburn,org,geo
Algiers,related_to,U.N.,geo,org
16th century mosque,related_to,Ayodhya,tim,geo
Burmese,related_to,Rangoon,gpe,geo
Afghan,related_to,Mr. Hakimi,gpe,per
15th and 16th,related_to,Portugal,tim,per
VOA,related_to,Nicholas Burns,org,per
Mr. Chavez,related_to,Tuesday,per,tim
Egypt,related_to,West Bank,geo,org
Mr. Machimura,related_to,from 1910 to 1945,per,tim
World Health Organization,related_to,Asia,org,geo
State Department,related_to,Cuba,org,geo
Wednesday,related_to,Mr. Ahmadinejad,tim,per
U.S.,related_to,southern Somalia,geo,geo
Khalid Jafri,related_to,before,per,tim
Americas,related_to,Friday,org,tim
Kabul,related_to,Monday,geo,tim
India,related_to,India,geo,geo
British,related_to,1825 - 55,gpe,tim
U.S.,related_to,Iraqi,geo,gpe
Israeli,related_to,United States,gpe,geo
Belgians,related_to,American,gpe,gpe
Palestinian,related_to,Friday,gpe,tim
Egyptian,related_to,Cairo,gpe,geo
Greenspan,related_to,1987,per,tim
Chad,related_to,N'Djamena,geo,tim
United Nations,related_to,Afghanistan,org,geo
Saturday,related_to,Bekaa Valley,tim,geo
British,related_to,Strategies Group,gpe,org
NATO,related_to,Afghan,org,gpe
Colonel Alexander Vovk,related_to,Russia,org,geo
1995 Srebrenica,related_to,the Netherlands,tim,geo
U.S.,related_to,Chalabi,geo,org
China,related_to,Taiwan,geo,geo
Israel,related_to,Palestinian,geo,gpe
Venezuela,related_to,Venezuela,geo,geo
Laos,related_to,about two,org,tim
four,related_to,UN Secretary-General,tim,org
Mohammad Ali Hosseini,related_to,Sunday,per,tim
Saturday,related_to,Abramoff,tim,per
Mr. Annan,related_to,Cotecna,per,geo
10-member Association of Southeast,related_to,Thailand,org,geo
Happy Birthday,related_to,Whoopie Goldberg,org,per
Iraq,related_to,Baghdad,geo,geo
The 35-year-old,related_to,United States,org,geo
Uganda of,related_to,The Hague,geo,org
Tauran,related_to,President Mahmoud Ahmadinejad,per,per
U.N.,related_to,Pyongyang,org,gpe
U.S.,related_to,Dubai,geo,geo
The Associated Press,related_to,Filipinos,org,gpe
Rio De Janeiro,related_to,South Africa ; Hamburg,org,geo
Taleban,related_to,Islamic,org,geo
Islamabad,related_to,President,geo,per
U.S.,related_to,Vietnamese,geo,gpe
Guatemalan,related_to,Panabaj,gpe,geo
1236,related_to,Belarus,tim,geo
Perth,related_to,Australia,geo,geo
U.S.,related_to,Syria,geo,geo
Prime Minister Recep Tayyip Erdogan,related_to,Turkey,per,org
Twitter,related_to,National Breast Cancer Awareness Month,art,org
Saturday,related_to,Mr. Maliki,tim,per
Baghdad,related_to,Sadr City,geo,geo
North,related_to,Korean,geo,gpe
Tibetans,related_to,Sunday,gpe,tim
Georgian,related_to,Abkhazia,gpe,geo
Afghan,related_to,U.S.,gpe,geo
Thursday,related_to,Prime Minister Tony Blair,tim,per
Jerry O'Hara,related_to,Friday,per,tim
U.S.,related_to,Afghan,geo,gpe
U.S.,related_to,Army,geo,org
Cuban,related_to,Fidel Castro,gpe,per
Miliband,related_to,General Mart de Kruif,per,per
Emirates airlines,related_to,Baghdad,org,geo
Presidential Palace,related_to,President Joseph Biden,org,per
Balad,related_to,Baghdad,geo,geo
Chechnya,related_to,2002,geo,tim
Republic,related_to,Iranian,geo,gpe
Greek,related_to,islands,gpe,per
Fatah,related_to,Hamas,geo,org
Sunday,related_to,Pope Benedict,tim,per
IMF,related_to,January,org,tim
Mr. Obama,related_to,Friday,per,tim
over Thursday,related_to,London,tim,geo
Mr.,related_to,Georgia,per,geo
Sarajevo,related_to,Gojko Jankovic,geo,org
Cayman Islands,related_to,Jamaica,org,geo
Radical Muslim,related_to,Chechen,per,gpe
U.S. Senate,related_to,Judge Samuel Alito,org,org
Central Highlands,related_to,Cambodia,geo,geo
August,related_to,Cambodia,tim,geo
Srichaphan,related_to,Australia,per,geo
Venezuela,related_to,President Fidel Castro,geo,per
Manila,related_to,Seoul,geo,geo
May 30,related_to,U.S.,tim,geo
Li Rui,related_to,Li Pu,per,per
Korean,related_to,Korean,gpe,gpe
Mr. Garang,related_to,Sudan,per,gpe
April 26,related_to,Hamdania,tim,geo
Las Pinas,related_to,Manila,geo,geo
Amnesty International,related_to,West Bank and Gaza Strip,org,org
Monday,related_to,Luxembourg,tim,geo
Prime Minister Junichiro Koizumi,related_to,Saturday and Sunday,per,tim
Moscow,related_to,Iraq,geo,geo
CNN Television,related_to,Tuesday,org,tim
Monterrey,related_to,drug-related,gpe,tim
U.S.,related_to,British,geo,gpe
United States,related_to,Taliban,geo,org
NATO,related_to,Germany,org,geo
Russia,related_to,Palestinian,geo,gpe
Germany,related_to,Iran,geo,geo
Lanka,related_to,Tamil Tiger,gpe,geo
Kyrgyzstan,related_to,March,geo,tim
Thursday,related_to,Britain,tim,geo
Bush,related_to,Iran,org,geo
Ukraine,related_to,Yushchenko,geo,org
Muslim,related_to,Friday,org,tim
Friday,related_to,Mr. Abbas,tim,per
Israeli,related_to,Shaul Mofaz,gpe,per
Spain,related_to,France,geo,geo
President Pervez Musharraf,related_to,today,per,tim
Condoleezza Rice,related_to,Palestinian,per,gpe
Sudan,related_to,Rwanda,geo,geo
